361.1563538	103.0938085	237.2964	-4.34849
416.7954838	165.3849186	237.2788	-4.37138
493.1628696	171.0396726	237.2525	-4.37521
645.1481152	289.4542262	237.2029	-4.4198
691.6485065	337.3304942	237.1881	-4.43756
708.8502503	418.0906917	237.1841	-4.46564
335.1993123	225.0627227	237.3084	-4.38987
270.3442303	298.0114705	237.3326	-4.41344
238.4832114	378.8905524	237.3457	-4.44051
406.7134376	501.5870254	237.2907	-4.48689
439.7746779	599.7489222	237.2817	-4.52161
540.8505017	560.1346279	237.2458	-4.51029
