453.8825683	211.4337182	239.9455	-8.49655
590.5052763	220.6886055	239.8981	-8.50304
759.1863799	197.5058169	239.8386	-8.49919
706.9830888	376.4799079	239.8613	-8.55973
684.1870542	601.0835661	239.8748	-8.63668
670.1766518	664.4954896	239.8812	-8.65832
519.3021083	748.5308408	239.9359	-8.68358
306.3116968	852.9466669	240.0129	-8.7144
270.6430719	675.8708303	240.0208	-8.6524
257.0795088	655.1752315	240.0251	-8.64497
59.26528168	578.3519389	240.0923	-8.61365
140.5288877	267.4067869	240.0563	-8.50816

